Date,Time,User/System,Temperature ( C ),Max (Scale),Min (Scale),File
13/08/2019,12:32,System,23,60,15,Thermal.csv
13/08/2019,12:33,User,23,60,15,Thermal.csv
13/08/2019,12:34,System,22,60,15,Thermal.csv
13/08/2019,12:35,System,23,60,15,Thermal.csv
13/08/2019,12:36,System,23,60,15,Thermal.csv
13/08/2019,12:37,System,23,60,15,Thermal.csv
13/08/2019,12:40,System,22,60,15,Thermal.csv
13/08/2019,12:42,System,23,60,15,Thermal.csv
13/08/2019,12:42,System,23,60,15,Thermal.csv
13/08/2019,12:43,System,22,60,15,Thermal.csv
13/08/2019,12:44,User,22,60,15,Thermal.csv
13/08/2019,12:50,System,22,60,15,Thermal.csv
13/08/2019,12:51,System,22,60,15,Thermal.csv
13/08/2019,12:51,User,22,60,15,Thermal.csv
13/08/2019,12:54,System,22,60,15,Thermal.csv
13/08/2019,12:57,System,31,40,15,Thermal.csv
13/08/2019,12:57,System,32,40,15,Thermal.csv
13/08/2019,13:01,System,0,80,20,Thermal.csv
